Rank,Symbol,Description,NIFTY50,NIFTYNEXT50,NIFTY100,NIFTY200,NIFTY500,NIFTYTOTALMARKET,NIFTYMIDCAP50,NIFTYMIDCAP150,NIFTYMIDCAP100,NIFTYSMALLCAP250,NIFTYSMALLCAP50,NIFTYSMALLCAP100,NIFTYMICROCAP250,SectorialIndex
1183,OMAXE,Omaxe Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1184,DAMCAPITAL,DAM Capital Advisors Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,NIFTY SME IPO
1185,SURAKSHA,Suraksha Diagnostic Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,NIFTY SME IPO
1186,LGHL,Laxmi Goldorna House Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1187,EKC,Everest Kanto Cylinder Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1188,RAMCOSYS,Ramco Systems Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1189,UNIECOM,Unicommerce eSolutions Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,NIFTY SME IPO
1190,SANSTAR,Sanstar Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,NIFTY SME IPO
1191,BLKASHYAP,B.L. Kashyap & Sons Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1192,ANDHRAPAP,Andhra Paper Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1193,JAGRAN,Jagran Prakashan Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1194,HMAAGRO,HMA Agro Industries Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1195,ROTO,Roto Pumps Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1196,NIITLTD,NIIT Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1197,RUPA,Rupa & Co. Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1198,SHRIRAMPPS,Shriram Properties Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1199,MMFL,MM Forgings Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1200,DECCANCE,Deccan Cements Ltd,No,No,No,No,No,No,No,No,No,No,No,No,No,
1201,CENTRUM,Centrum Capital Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1202,HARIOMPIPE,Hariom Pipe Industries Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1203,HIMATSEIDE,Himatsingka Seide Limited.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1204,ROHLTD,Royal Orchid Hotels Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1205,VINYAS,Vinyas Innovative Technologies Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1206,MADRASFERT,Madras Fertilizers Ltd,No,No,No,No,No,No,No,No,No,No,No,No,No,
1207,ESAFSFB,ESAF Small Finance Bank Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1208,EXCELINDUS,Excel Industries Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1209,PLATIND,Platinum Industries Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,NIFTY SME IPO
1210,BSHSL,Bombay Super Hybrid Seeds Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1211,IGARASHI,Igarashi Motors India Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1212,ARMANFIN,Arman Financial Services Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1213,TINNARUBR,Tinna Rubber & Infrastructure Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1214,BIRLANU,Birlanu Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1215,GPTINFRA,GPT Infraprojects Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1216,ALLDIGI,Alldigi Tech Ltd,No,No,No,No,No,No,No,No,No,No,No,No,No,
1217,GANDHAR,Gandhar Oil Refinery (India) Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1218,RAJRILTD,Raj Rayon Industries Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1219,INFOBEAN,InfoBeans Technologies Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1220,VPRPL,Vishnu Prakash R Punglia Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1221,BGRENERGY,BGR Energy Systems Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1222,DOLATALGO,Dolat Algotech Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1223,SALZERELEC,Salzer Electronics Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1224,STALLION,Stallion India Fluorochemicals Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,NIFTY SME IPO
1225,DIFFNKG,Diffusion Engineers Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,NIFTY SME IPO
1226,SIGNPOST,Signpost India Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1227,ATULAUTO,Atul Auto Ltd,No,No,No,No,No,No,No,No,No,No,No,No,No,
1228,PARACABLES,Paramount Communications Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1229,SURAJEST,Suraj Estate Developers Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1230,SHREDIGCEM,Shree Digvijay Cement Co. Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1231,CLSEL,Chaman Lal Setia Exports Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1232,MUFIN,Mufin Green Finance Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1233,GEMAROMA,Gem Aromatics Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,NIFTY SME IPO
1234,SMCGLOBAL,SMC Global Securities Ltd. (India),No,No,No,No,No,No,No,No,No,No,No,No,No,
1235,GODAVARIB,Godavari Biorefineries Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,NIFTY SME IPO
1236,SPORTKING,Sportking India Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1237,ABINFRA,A B Infrabuild Ltd,No,No,No,No,No,No,No,No,No,No,No,No,No,
1238,INDORAMA,Indo Rama Synthetics (India) Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1239,MANAKCOAT,Manaksia Coated Metals & Industries Ltd,No,No,No,No,No,No,No,No,No,No,No,No,No,
1240,RIIL,Reliance Industrial Infrastructure Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1241,DCMSRIND,DCM Shriram Industries Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1242,PUNJABCHEM,Punjab Chemicals & Crop Protection Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1243,AIMTRON,Aimtron Electronics Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1244,IGPL,IG Petrochemicals Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1245,HEUBACHIND,Heubach Colorants India Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1246,SALASAR,Salasar Techno Engineering Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1247,RICOAUTO,Rico Auto Industries Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1248,HERANBA,Heranba Industries Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1249,ALICON,Alicon Castalloy Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1250,SAURASHCEM,Saurashtra Cement Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1251,ASIANTILES,Asian Granito India Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1252,BAJAJHCARE,Bajaj Healthcare Ltd,No,No,No,No,No,No,No,No,No,No,No,No,No,
1253,MICEL,MIC Electronics Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1254,CAPITALSFB,Capital Small Finance Bank Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,NIFTY SME IPO
1255,C2C,C2C Advanced Systems Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1256,SURYODAY,Suryoday Small Finance Bank Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1257,GNA,GNA Axles Ltd,No,No,No,No,No,No,No,No,No,No,No,No,No,
1258,SUMEETINDS,Sumeet Industries Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1259,KROSS,Kross Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,NIFTY SME IPO
1260,GTPL,GTPL Hathway Ltd,No,No,No,No,No,No,No,No,No,No,No,No,No,
1261,WCIL,Western Carriers (India) Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,NIFTY SME IPO
1262,CIFL,Capital India Finance Ltd,No,No,No,No,No,No,No,No,No,No,No,No,No,
1263,BALAJITELE,Balaji Telefilms Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1264,NELCAST,Nelcast Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1265,BOROSCI,Borosil Scientific Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1266,YUKEN,Yuken India Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1267,ZUARI,Zuari Agro Chemicals Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1268,GPTHEALTH,GPT Healthcare Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,NIFTY SME IPO
1269,VHL,Vardhman Holdings Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1270,BUTTERFLY,Butterfly Gandhimathi Appliances Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1271,ORIENTTECH,Orient Technologies Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,NIFTY SME IPO
1272,AURUM,Aurum Proptech Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1273,IMPAL,India Motor Parts & Accessories Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1274,WEALTH,Wealth First Portfolio Managers Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1275,CONTROLPR,Control Print Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1276,KELLTONTEC,Kellton Tech Solutions Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1277,DHARMAJ,Dharmaj Crop Guard Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1278,MONTECARLO,Monte Carlo Fashions Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1279,PDMJEPAPER,Pudumjee Paper Products Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1280,KARNIKA,Karnika Industries Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1281,DSSL,Dynacons Systems & Solutions Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1282,TBZ,Tribhovandas Bhimji Zaveri Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1283,MANALIPETC,Manali Petrochemicals Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1284,HITECHGEAR,Hi-Tech Gears Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1285,WALCHANNAG,Walchandnagar Industries Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1286,BCLIND,BCL Industries Ltd,No,No,No,No,No,No,No,No,No,No,No,No,No,
1287,KHAICHEM,Khaitan Chemicals & Fertilizers Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1288,BHARATWIRE,Bharat Wire Ropes Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1289,TEXINFRA,Texmaco Infrastructure & Holdings Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1290,AGARIND,Agarwal Industrial Corporation Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1291,SIGACHI,Sigachi Industries Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1292,AMNPLST,Amines & Plasticizers Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1293,DVL,Dhunseri Ventures Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1294,JINDALPHOT,Jindal Photo Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1295,DPSCLTD,India Power Corp. Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1296,VASCONEQ,Vascon Engineers Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1297,KOKUYOCMLN,Kokuyo Camlin Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1298,STERTOOLS,Sterling Tools Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1299,INDOFARM,Indo Farm Equipment Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,NIFTY SME IPO
1300,RGL,Renaissance Global Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1301,ESTER,Ester Industries Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1302,ICEMAKE,Ice Make Refrigeration Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1303,GANDHITUBE,Gandhi Special Tubes Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1304,EIMCOELECO,Eimco Elecon (India) Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1305,ARISINFRA,ArisInfra Solutions Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,NIFTY SME IPO
1306,JAYAGROGN,Jayant Agro-Organics Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1307,ONEPOINT,One Point One Solutions Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1308,MAXIND,Max India Ltd,No,No,No,No,No,No,No,No,No,No,No,No,No,
1309,BAJAJINDEF,Indef Manufacturing Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1310,OAL,Oriental Aromatics Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1311,VMARCIND,V-Marc India Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1312,AFSL,Abans Financial Services Ltd,No,No,No,No,No,No,No,No,No,No,No,No,No,
1313,MEIL,Mangal Electrical Industries Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,NIFTY SME IPO
1314,TNPL,Tamil Nadu Newsprint & Papers Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1315,SSEGL,Sathlokhar Synergys E&C Global Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1316,AYMSYNTEX,AYM Syntex Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1317,PENINLAND,Peninsula Land Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1318,AVTNPL,AVT Natural Products Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1319,TAC,TAC Infosec Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1320,5PAISA,5paisa Capital Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1321,BIL,Bhartiya International Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1322,STEELXIND,Steel Exchange India Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1323,IRMENERGY,Irm Energy Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1324,PROSTARM,Prostarm Info Systems Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,NIFTY SME IPO
1325,REGAAL,Regaal Resources Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,NIFTY SME IPO
1326,SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1327,RADHIKAJWE,Radhika Jeweltech Ltd,No,No,No,No,No,No,No,No,No,No,No,No,No,
1328,RACLGEAR,RACL Geartech Ltd,No,No,No,No,No,No,No,No,No,No,No,No,No,
1329,JAYBARMARU,Jay Bharat Maruti Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1330,CEWATER,Concord Enviro Systems Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,NIFTY SME IPO
1331,DENTA,Denta Water and Infra Solutions Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,NIFTY SME IPO
1332,INNOVANA,Innovana Thinklabs Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1333,LINCOLN,Lincoln Pharmaceuticals Ltd,No,No,No,No,No,No,No,No,No,No,No,No,No,
1334,SRM,SRM Contractors Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1335,TECHLABS,Trident Techlabs Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1336,MATRIMONY,Matrimony.com Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1337,SWELECTES,Swelect Energy Systems Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1338,CENTENKA,Century Enka Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1339,SCODATUBES,Scoda Tubes Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,NIFTY SME IPO
1340,UNIENTER,Uniphos Enterprises Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1341,GRPLTD,GRP Ltd,No,No,No,No,No,No,No,No,No,No,No,No,No,
1342,ARIHANTCAP,Arihant Capital Markets Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1343,CREST,Crest Ventures Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1344,FLYSBS,FlySBS Aviation Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1345,IZMO,IZMO Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1346,PASHUPATI,Pashupati Cotspin Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1347,OMINFRAL,Om Infra Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1348,INDOAMIN,Indo Amines Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1349,GALAPREC,Gala Precision Engineering Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,NIFTY SME IPO
1350,ELECTHERM,Electrotherm (India) Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1351,SAHANA,Sahana System Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1352,EVERESTIND,Everest Industries Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1353,OSWALGREEN,Oswal Greentech Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1354,BASILIC,Basilic Fly Studio Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1355,SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1356,GANESHIN,Ganesh Infraworld Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1357,ANDHRSUGAR,Andhra Sugars Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1358,REMUS,Remus Pharmaceuticals Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1359,MEGASOFT,Megasoft Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1360,FAIRCHEMOR,Fairchem Organics Ltd,No,No,No,No,No,No,No,No,No,No,No,No,No,
1361,SOLEX,Solex Energy Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1362,BARBEQUE,Barbeque Nation Hospitality Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1363,BHARATSE,Bharat Seats Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1364,GGBL,Ganesh Green Bharat Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1365,OSWALAGRO,Oswal Agro Mills Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1366,KRISHNADEF,Krishna Defence and Allied Industries Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1367,UTTAMSUGAR,Uttam Sugar Mills Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1368,GULPOLY,Gulshan Polyols Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1369,KRISHIVAL,Krishival Foods Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1370,BIRLAMONEY,Aditya Birla Money Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1371,FAZE3Q,Faze Three Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1372,XCHANGING,Xchanging Solutions Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1373,HEXATRADEX,Hexa Tradex Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1374,MAMATA,Mamata Machinery Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,NIFTY SME IPO
1375,KOTHARIPET,Kothari Petrochemicals Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1376,DHANBANK,Dhanlaxmi Bank Ltd,No,No,No,No,No,No,No,No,No,No,No,No,No,
1377,LIKHITHA,Likhitha Infrastructure Ltd,No,No,No,No,No,No,No,No,No,No,No,No,No,
1378,AEROENTER,Aeroflex Enterprises Ltd,No,No,No,No,No,No,No,No,No,No,No,No,No,
1379,DENTALKART,Vasa Denticity Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1380,JPOLYINVST,Jindal Poly Investment and Finance Co. Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1381,NCLIND,NCL Industries Ltd,No,No,No,No,No,No,No,No,No,No,No,No,No,
1382,COFFEEDAY,Coffee Day Enterprises Ltd,No,No,No,No,No,No,No,No,No,No,No,No,No,
1383,ELIN,Elin Electronics Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1384,MVGJL,Manoj Vaibhav Gems 'N' Jewellers Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1385,SBC,SBC Exports Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1386,VALIANTORG,Valiant Organics Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1387,BESTAGRO,Best Agrolife Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1388,KUANTUM,Kuantum Papers Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1389,KABRAEXTRU,Kabra ExtrusionTechnik Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1390,SAFEENTP,Safe Enterprises Retail Fixtures Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1391,CHEMFAB,Chemfab Alkalis Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1392,COOLCAPS,Cool Caps Industries Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1393,KRYSTAL,Krystal Integrated Services Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,NIFTY SME IPO
1394,TEMBO,Tembo Global Industries Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1395,CREATIVE,Creative Newtech Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1396,ADSL,Allied Digital Services Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1397,SKMEGGPROD,SKM Egg Products Export (India) Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1398,TNPETRO,Tamilnadu Petro Products Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1399,RNBDENIMS,R&B Denims Ltd,No,No,No,No,No,No,No,No,No,No,No,No,No,
1400,BLAL,BEML Land Assets Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1401,SANDESH,Sandesh Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1402,SARVESHWAR,Sarveshwar Foods Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1403,GICHSGFIN,GIC Housing Finance Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1404,KAMATHOTEL,Kamat Hotels (India) Ltd,No,No,No,No,No,No,No,No,No,No,No,No,No,
1405,THEMISMED,Themis Medicare Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1406,DISHTV,Dish TV India Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,NIFTY Media
1407,VAKRANGEE,Vakrangee Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1408,ACLGATI,Allcargo Gati Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1409,ACL,Andhra Cements Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1410,WANBURY,Wanbury Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1411,NGLFINE,NGL Fine-Chem Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1412,ABCOTS,AB Cotspin India Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1413,ZUARIIND,Zuari Industries Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1414,PVSL,Popular Vehicles and Services Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,NIFTY SME IPO
1415,AVADHSUGAR,Avadh Sugar & Energy Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1416,TVTODAY,TV Today Network Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1417,SNOWMAN,Snowman Logistics Ltd,No,No,No,No,No,No,No,No,No,No,No,No,No,
1418,NDTV,New Delhi Television Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1419,SILVERTUC,Silver Touch Technologies Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1420,SUYOG,Suyog Telematics Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1421,JPASSOCIAT,Jaiprakash Associates Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1422,STEL,STEL Holdings Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1423,MUNJALAU,Munjal Auto Industries Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1424,DHAMPURSUG,Dhampur Sugar Mills Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1425,SVLL,Shree Vasu Logistics Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1426,PRIMESECU,Prime Securities Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1427,BHAGERIA,Bhageria Industries Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1428,DHUNINV,Dhunseri Investments Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1429,JITFINFRA,JITF Infralogistics Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1430,ESFL,Essen Speciality Films Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1431,PATELRMART,Patel Retail Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,NIFTY SME IPO
1432,SASTASUNDR,Sastasundar Ventures Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1433,SHREERAMA,Shree Rama Multi-Tech Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1434,LAXMIINDIA,Laxmi India Finance Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,NIFTY SME IPO
1435,SAHASRA,Sahasra Electronic Solutions Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1436,ANUHPHR,Anuh Pharma Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1437,LEMERITE,Le Merite Exports Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1438,MACPOWER,Macpower CNC Machines Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1439,SELAN,Selan Exploration Technology Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1440,AMBIKCO,Ambika Cotton Mills Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1441,SARLAPOLY,Sarla Performance Fibers Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1442,ARROWGREEN,Arrow Greentech Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
1443,NINSYS,NINtec Systems Ltd,No,No,No,No,No,No,No,No,No,No,No,No,No,
1444,MUKKA,Mukka Proteins Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,NIFTY SME IPO
1445,SGIL,Synergy Green Industries Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
1446,ORICONENT,Oricon Enterprises Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,
