Rank,Symbol,Description,NIFTY50,NIFTYNEXT50,NIFTY100,NIFTY200,NIFTY500,NIFTYTOTALMARKET,NIFTYMIDCAP50,NIFTYMIDCAP150,NIFTYMIDCAP100,NIFTYSMALLCAP250,NIFTYSMALLCAP50,NIFTYSMALLCAP100,NIFTYMICROCAP250,SectorialIndex
172,IRCTC,Indian Railway Catering & Tourism Corp. Ltd.,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,"NIFTY India Railways PSU, NIFTY India Tourism"
173,PIIND,PI Industries Limited,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,"NIFTY Chemicals, NIFTY Commodities, NIFTY India Manufacturing"
174,COFORGE,Coforge Limited,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,NIFTY IT
175,GLENMARK,Glenmark Pharmaceuticals Limited,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,"NIFTY Healthcare, NIFTY Pharma"
176,LINDEINDIA,Linde India Ltd.,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,"NIFTY Chemicals, NIFTY India Manufacturing"
177,GODFRYPHLP,Godfrey Phillips India Ltd.,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,
178,MPHASIS,Mphasis Limited,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,NIFTY IT
179,BHARATFORG,Bharat Forge Ltd,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,"NIFTY Auto, NIFTY EV & New Age Automotive, NIFTY India Manufacturing, NIFTY Infrastructure"
180,MFSL,Max Financial Services Limited,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,
181,PHOENIXLTD,Phoenix Mills Ltd.,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,NIFTY Realty
182,IDFCFIRSTB,IDFC First Bank Ltd.,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,"NIFTY Bank, NIFTY Private Bank"
183,SAIL,Steel Authority of India Limited,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,"NIFTY Metal, NIFTY India Railways PSU"
184,AIIL,Authum Investment & Infrastucture Ltd,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
185,BDL,Bharat Dynamics Ltd.,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,NIFTY India Defence
186,MOTILALOFS,Motilal Oswal Financial Services Limited,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,NIFTY Capital Markets
187,AUBANK,AU Small Finance Bank Limited,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,NIFTY Bank
188,NAM_INDIA,Nippon Life India Asset Management Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
189,KALYANKJIL,Kalyan Jewellers India Ltd.,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,NIFTY Consumer Durables
190,JKCEMENT,J.K. Cement Ltd.,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,
191,BANKINDIA,Bank of India,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,NIFTY PSU Bank
192,ITCHOTELS,ITC Hotels Ltd,No,No,No,No,No,No,No,No,No,No,No,No,No,
193,SUNDARMFIN,Sundaram Finance Limited,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,
194,PAGEIND,Page Industries Limited,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,NIFTY India Manufacturing
195,UBL,United Breweries Limited,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,NIFTY FMCG
196,GLAXO,GlaxoSmithKline Pharmaceuticals Limited,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,
197,KRT.RR,Knowledge Realty Trust,No,No,No,No,No,No,No,No,No,No,No,No,No,
198,BIOCON,Biocon Limited,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,"NIFTY Healthcare, NIFTY Pharma"
199,ANTHEM,Anthem Biosciences Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,NIFTY SME IPO
200,LAURUSLABS,Laurus Labs Ltd.,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,"NIFTY Healthcare, NIFTY Pharma"
201,VOLTAS,Voltas Limited,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,"NIFTY Consumer Durables, NIFTY India Manufacturing"
202,APLAPOLLO,APL Apollo Tubes Limited,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,"NIFTY Metal, NIFTY Commodities, NIFTY India Manufacturing"
203,FEDERALBNK,Federal Bank Ltd. (India),No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,"NIFTY Bank, NIFTY Private Bank"
204,PREMIERENE,Premier Energies Limited,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,NIFTY SME IPO
205,KAYNES,Kaynes Technology India Ltd.,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,NIFTY India Manufacturing
206,DALBHARAT,Dalmia Bharat Ltd.,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,
207,BALKRISIND,Balkrishna Industries Limited,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,"NIFTY Auto, NIFTY India Manufacturing"
208,HEXT,Hexaware Technologies Limited,No,No,No,No,No,No,No,No,No,No,No,No,No,NIFTY SME IPO
209,TATACOMM,Tata Communications Limited,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,
210,LTTS,L&T Technology Services Ltd.,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,NIFTY EV & New Age Automotive
211,COCHINSHIP,Cochin Shipyard Limited,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,"NIFTY India Defence, NIFTY India Manufacturing"
212,PGHH,Procter & Gamble Hygiene & Health Care Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
213,JUBLFOOD,Jubilant Foodworks Limited,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,NIFTY India Tourism
214,HUDCO,Housing & Urban Development Corp. Ltd.,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,
215,360ONE,360 One Wam Limited,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,NIFTY Capital Markets
216,CONCOR,Container Corporation of India Limited,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,NIFTY India Railways PSU
217,ENDURANCE,Endurance Technologies Ltd.,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,
218,PETRONET,Petronet Lng Limited,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,"NIFTY Oil & Gas, NIFTY Energy"
219,IREDA,Indian Renewable Energy Development Agency Ltd.,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,
220,GODREJIND,Godrej Industries Limited,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,
221,MAHABANK,Bank of Maharashtra,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,NIFTY PSU Bank
222,ESCORTS,Escorts Kubota Limited,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,NIFTY India Manufacturing
223,BLUESTARCO,Blue Star Limited,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,"NIFTY Consumer Durables, NIFTY India Manufacturing"
224,THERMAX,Thermax Limited.,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,NIFTY Energy
225,KEI,KEI Industries Limited,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,"NIFTY EV & New Age Automotive, NIFTY India Manufacturing"
226,MCX,Multi Commodity Exchange of India Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,NIFTY Capital Markets
227,ASTRAL,Astral Limited,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,NIFTY India Manufacturing
228,MEDANTA,Global Health Limited,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,
229,RADICO,Radico Khaitan Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,NIFTY FMCG
230,NATIONALUM,National Aluminium Co. Ltd.,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,NIFTY Metal
231,NH,Narayana Hrudayalaya Ltd.,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,
232,FLUOROCHEM,Gujarat Fluorochemicals Ltd.,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,"NIFTY Chemicals, NIFTY EV & New Age Automotive, NIFTY India Manufacturing"
233,EMBASSY.RR,Embassy Office Parks REIT,No,No,No,No,No,No,No,No,No,No,No,No,No,
234,M&MFIN,Mahindra & Mahindra Financial Services Ltd.,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,
235,CRISIL,CRISIL Limited,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,
236,SJVN,SJVN Limited,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,NIFTY Energy
237,UCOBANK,UCO Bank,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,NIFTY PSU Bank
238,DELHIVERY,Delhivery Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,
239,ACC,ACC Limited,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,
240,AWL,AWL Agri Business Ltd,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,
241,EXIDEIND,Exide Industries Limited,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,"NIFTY Auto, NIFTY EV & New Age Automotive, NIFTY India Manufacturing"
242,COHANCE,Cohance Lifesciences Ltd,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
243,GILLETTE,Gillette India Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
244,3MINDIA,3M India Limited,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,
245,TATAINVEST,Tata Investment Corporation Limited,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,
246,IPCALAB,IPCA Laboratories Limited,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,"NIFTY Healthcare, NIFTY Pharma"
247,KPRMILL,K.P.R. Mill Limited,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,NIFTY India Manufacturing
248,TATAELXSI,Tata Elxsi Limited,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,NIFTY EV & New Age Automotive
249,POONAWALLA,Poonawalla Fincorp Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,
250,KPITTECH,KPIT Technologies Limited,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,NIFTY EV & New Age Automotive
251,METROBRAND,Metro Brands Ltd.,No,No,No,No,No,No,No,No,No,No,No,No,No,
252,NIACL,New India Assurance Co. Ltd.,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,
253,ASTERDM,Aster DM Healthcare Ltd.,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,
254,GODIGIT,Go Digit General Insurance Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,NIFTY SME IPO
255,CHOLAHLDNG,Cholamandalam Financial Holdings Ltd,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
256,AJANTPHARM,Ajanta Pharma Limited,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,NIFTY Pharma
257,CENTRALBK,Central Bank of India,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,NIFTY PSU Bank
258,NLCINDIA,NLC India Limited,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,NIFTY Energy
259,HONAUT,Honeywell Automation India Limited,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,NIFTY India Manufacturing
260,APARINDS,APAR Industries Limited,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,
261,CDSL,Central Depository Services (India) Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,NIFTY Capital Markets
262,INOXWIND,Inox Wind Ltd.,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,NIFTY Energy
263,GLAND,Gland Pharma Ltd.,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,NIFTY Pharma
264,APOLLOTYRE,Apollo Tyres Limited.,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,
265,LICHSGFIN,LIC Housing Finance Ltd,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,NIFTY Financial Services
266,GUJGASLTD,Gujarat Gas Ltd.,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,"NIFTY Oil & Gas, NIFTY Energy"
267,IGL,Indraprastha Gas Limited,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,"NIFTY Oil & Gas, NIFTY Energy"
268,ITI,ITI Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,NIFTY India Railways PSU
269,KIMS,Krishna Institute of Medical Sciences Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,
270,MSUMI,Motherson Sumi Wiring India Ltd,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,NIFTY EV & New Age Automotive
271,SUMICHEM,Sumitomo Chemical India Ltd.,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,NIFTY Chemicals
272,AIAENG,AIA Engineering Limited,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,NIFTY India Manufacturing
273,OLAELEC,Ola Electric Mobility Limited,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,"NIFTY EV & New Age Automotive, NIFTY SME IPO"
274,LALPATHLAB,Dr. Lal PathLabs Limited,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,
275,GRSE,Garden Reach Shipbuilders & Engineers Ltd.,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,NIFTY India Defence
